dataset,method,seeds,acc_mean,acc_std,macro_f1_mean,macro_f1_std,binary_f1_mean,binary_f1_std,bot_p_mean,bot_p_std,bot_r_mean,bot_r_std,macro_p_mean,macro_p_std,macro_r_mean,macro_r_std,is_ours,note
TwiBot-20,BotHunter,5,0.7528,0.0042,0.7439,0.0042,0.7918,0.0039,0.7274,0.0032,0.8688,0.0070,0.7634,0.0051,0.7425,0.0041,no,Feature-based baseline.
TwiBot-20,FriendBot,5,0.7719,0.0046,0.7663,0.0048,0.8026,0.0038,0.7546,0.0043,0.8572,0.0038,0.7771,0.0046,0.7643,0.0047,no,Feature-based baseline.
TwiBot-20,BotRGCN,5,0.8568,0.0057,0.8549,0.0055,0.8714,0.0063,0.8975,0.0163,0.8471,0.0061,0.8588,0.0069,0.8532,0.0051,no,Graph-based baseline.
TwiBot-20,RGT,5,0.8639,0.0025,0.8620,0.0026,0.8782,0.0023,0.8511,0.0044,0.9072,0.0058,0.8663,0.0026,0.8600,0.0026,no,Graph-based baseline.
TwiBot-20,BIC,5,0.8555,0.0050,0.8534,0.0051,0.8707,0.0047,0.8439,0.0082,0.8994,0.0124,0.8578,0.0053,0.8515,0.0051,no,Text-graph baseline.
TwiBot-20,BotMoE,5,0.8612,0.0050,0.8592,0.0047,0.8759,0.0056,0.8482,0.0023,0.9056,0.0142,0.8638,0.0066,0.8572,0.0042,no,Multimodal baseline.
TwiBot-20,BotBR,5,0.8691,0.0020,0.8672,0.0021,0.8831,0.0018,0.8545,0.0044,0.9137,0.0057,0.8719,0.0021,0.8652,0.0022,no,Reliability-based baseline.
TwiBot-20,LMBot-GNN,5,0.8511,0.0039,0.8465,0.0039,0.8723,0.0042,0.8127,0.0068,0.9416,0.0151,0.8644,0.0073,0.8428,0.0038,no,Graph-knowledge distillation baseline.
TwiBot-20,LMBot-LM,5,0.8541,0.0010,0.8487,0.0021,0.8771,0.0012,0.8059,0.0087,0.9625,0.0148,0.8747,0.0057,0.8444,0.0024,no,Graph-less language-model baseline.
TwiBot-20,SEBot,5,0.8629,0.0033,0.8610,0.0035,0.8772,0.0027,0.8507,0.0077,0.9056,0.0084,0.8652,0.0031,0.8591,0.0037,no,Structure-entropy baseline.
TwiBot-20,Ours,5,0.8893,0.0053,0.8878,0.0048,,,0.8748,,,,0.8918,0.0043,0.8858,0.0289,yes,Full model with K=8 fanout 64 and routed budget 10%.
TwiBot-22 sampled,BotRGCN,5,0.7221,0.0229,0.6055,0.0210,0.3919,0.0411,0.3080,0.0570,0.5735,0.0913,0.6650,0.0457,0.6013,0.0178,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,RGT,5,0.7224,0.0238,0.5673,0.0691,0.3090,0.1292,0.5448,0.0884,0.2247,0.1097,0.6440,0.0558,0.5773,0.0476,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,BIC,5,0.7856,0.0097,0.7342,0.0095,0.6173,0.0135,0.6517,0.0284,0.5879,0.0259,0.7433,0.0140,0.7280,0.0092,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,BotBR,5,0.7609,0.0399,0.6034,0.1220,0.3551,0.2265,0.6153,0.3203,0.2667,0.1927,0.6894,0.1760,0.6168,0.0834,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,BotMoE,5,0.6499,0.0160,0.6364,0.0136,0.5669,0.0111,0.4461,0.0139,0.7787,0.0237,0.6562,0.0092,0.6875,0.0110,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,LMBot-LM,5,0.7472,0.0127,0.6290,0.0225,0.4200,0.0462,0.6155,0.0578,0.3259,0.0624,0.6946,0.0280,0.6204,0.0196,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,LMBot-GNN,5,0.7498,0.0146,0.6429,0.0380,0.4482,0.0732,0.6017,0.0409,0.3655,0.0846,0.6919,0.0242,0.6341,0.0318,no,Sampled TwiBot-22 baseline.
TwiBot-22 sampled,BotHunter,5,0.7731,0.0019,0.6323,0.0031,0.4047,0.0062,0.8010,0.0217,0.2709,0.0071,0.7856,0.0119,0.6220,0.0026,no,Sampled TwiBot-22 feature baseline.
TwiBot-22 sampled,Ours,5,0.8241,0.0140,0.7131,0.0104,,,,,,,0.7314,0.0134,,,yes,Full model with K=8 fanout 64 and routed budget 10%.
